Workreport_ID,SSN,Contractor, Contractor_review, Contractor_remuneration, Total_cost, Description
wrep1,123456-0001,N/A,N/A,N/A,30.000.-,Gekk vel fékk fríar piparkökur:)
wrep2,123456-0004,N/A,N/A,N/A,10.000.-,Gekk rosa vel
wrep3,123456-0004,N/A,N/A,N/A,10.000.-,Gekk rosa vel
wrep4,123456-0005,N/A,N/A,N/A,10.000.-,Gekk allt í lagi
wrep5,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega
wrep6,123456-0004,N/A,N/A,N/A,10.000.-,Gekk mjög vel
wrep7,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!
wrep8,123456-0006,N/A,N/A,N/A,10.000.-,Gekk eins og í sögu
wrep9,123456-0004,N/A,N/A,N/A,10.000.-,Chuck ætti að gefa mér stöðuhækkun fyrir þetta verk!
wrep10,123456-0005,N/A,N/A,N/A,10.000.-,Gekk þokkalega
wrep11,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega
wrep12,123456-0007,N/A,N/A,N/A,15.000.-,Gekk vel
wrep13,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel
wrep14,123456-0009,N/A,N/A,N/A,15.000.-,Gekk vel
wrep15,123456-0007,N/A,N/A,N/A,15.000.-,Gekk mjög vel
wrep16,123456-0008,N/A,N/A,N/A,15.000.-,Gekk rosa vel
wrep17,123456-0009,N/A,N/A,N/A,15.000.-,Gekk æðislega
wrep18,123456-0007,N/A,N/A,N/A,15.000.-,Allt gekk vel!
wrep19,123456-0008,N/A,N/A,N/A,15.000.-,Gekk rosa vel!
wrep20,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu
wrep21,123456-0007,N/A,N/A,N/A,15.000.-,Gekk vel að mínu mati
wrep22,123456-0008,N/A,N/A,N/A,15.000.-,Gekk rosa vel
